name,color,n_observed,seed_issues
Status - CLOSED DUPLICATE,D059B7,61,"8725,8768,9630,13222,13684,13811,13868,13871,13872"
Hardware - All OS X v10.6,B0FCD4,10,"14226,14434,14441,14627,14675,14722,14742,14867,15041"
Importance - P5 minor,426EF6,606,"14229,14237,14243,14253,14261,14262,14273,14280,14288"
Importance - P4 normal,1F8F85,5,"14230,14866,15733,16587,16752"
Version - R 2.10.x,D514BD,59,"14231,14232,14233,14234,14236,14237,14238,14239,14240"
Importance - P2 normal,67CCA0,5,"14231,15122,15503,16617,17325"
Hardware - ix86 (32-bit) Linux,50F6D9,49,"14232,14233,14243,14248,14268,14270,14273,14291,14292"
Hardware - ix86 (32-bit) OS X v10.6,98E617,12,"14238,14252,14258,14266,14277,14321,14335,14358,14421"
Importance - P3 normal,7A2426,22,"14240,14268,14299,14358,14368,14419,14488,14760,14873"
Importance - P4 minor,3FFA75,3,"14250,14473,14863"
Importance - P1 normal,609EA8,1,14251
Importance - P5 trivial,EA16DE,217,"14252,14297,14306,14309,14320,14330,14393,14413,14422"
Importance - P1 minor,6BE70E,8,"14254,14451,14624,14768,14914,14947,15212,15982"
Hardware - ix86 (32-bit) Linux-Ubuntu,3D4973,27,"14255,14276,14280,14289,14302,14315,14333,14354,14355"
Hardware - ix86 (32-bit) OS X v10.5,54AC88,10,"14260,14281,14293,14300,14307,14329,14340,14411,14621"
Importance - P3 blocker,A9B3CF,3,"14265,15963,16715"
Version - R 2.12.0,5AB501,50,"14272,14286,14288,14297,14313,14317,14320,14331,14365"
Hardware - Other Linux,E8116A,241,"14272,14366,14371,14386,14387,14393,14488,14505,14506"
Version - R 2.x,FF1367,13,"14277,14279,14285,14293,14299,14303,14305,14306,14308"
Importance - P3 minor,E71F83,9,"14287,14347,15136,15495,16358,16542,16542,16542,17330"
Importance - P3 major,EEC9F6,17,"14302,14454,14628,15244,15364,15518,15554,15560,16034"
Hardware - ix86 (32-bit) Linux-Debian,30EFB2,8,"14312,14383,14515,14563,14608,14769,14977,17607"
Version - R 2.11.1,CF01CC,59,"14322,14323,14324,14326,14330,14334,14335,14336,14339"
Importance - P1 blocker,239C23,9,"14328,14361,14404,14761,15461,15484,15763,15764,16938"
Importance - P2 major,AB763A,5,"14348,14982,15034,16548,17418"
Version - R-devel (trunk),977B50,585,"14359,14467,14477,14494,14517,14518,14532,14535,14537"
Importance - P3 enhancement,941F5F,5,"14359,15023,15045,16312,17620"
Hardware - Other Linux-Debian,7C726E,9,"14369,16302,16531,17140,17154,17174,17182,17201,17292"
Hardware - Other Linux-Ubuntu,7B198E,13,"14370,15110,15111,15166,15311,15569,15862,16389,16390"
Hardware - Other Windows 32-bit,68D0D0,32,"14376,14396,14410,14424,14466,14528,14543,14572,14659"
Hardware - Other OS X v10.6,117731,25,"14377,14413,14449,14462,14539,14552,14553,14555,14557"
Hardware - All Windows 32-bit,548B47,20,"14379,14573,14625,14665,14909,14981,15187,15295,15306"
Hardware - Other All,AF30EC,54,"14381,14418,14420,14422,14701,14715,14749,14797,14890"
Hardware - x86_64/x64/amd64 (64-bit) Linux,00A66F,242,"14428,14440,14442,14447,14481,14493,14519,14533,14534"
Hardware - x86_64/x64/amd64 (64-bit) Linux-Ubuntu,6E8994,86,"14430,14517,14521,14576,14726,14808,14809,14815,14833"
Importance - P2 enhancement,344D4C,7,"14433,14657,14912,15036,15481,16793,16793"
Hardware - x86_64/x64/amd64 (64-bit) Windows 64-bi,9895AB,397,"14444,14445,14450,14454,14455,14456,14476,14478,14495"
Importance - P5 blocker,9F6579,51,"14448,14523,14531,14548,14568,14596,14695,14713,14726"
Hardware - Other Other,14F7E1,375,"14451,14460,14474,14484,14520,14522,14524,14559,14599"
Status - VERIFIED FIXED,A853D9,1,14452
Hardware - Other OS X v10.5,548D17,2,"14453,14832"
Hardware - ix86 (32-bit) unix-other,9E67AE,3,"14463,14791,16313"
Version - R 2.12.1,E391C1,28,"14464,14468,14471,14479,14481,14482,14484,14487,14495"
Hardware - x86_64/x64/amd64 (64-bit) Linux-Debian,E3C99E,17,"14479,14594,14792,15106,15208,15257,15411,15561,16426"
Hardware - x86_64/x64/amd64 (64-bit) Windows 32-bi,2B2F99,12,"14486,14497,14500,14612,14672,14976,15131,15320,15717"
Importance - P1 major,773875,5,"14507,14915,15499,16258,17452"
Status - CLOSED SPAM,43E969,131,"14520,14761,14811,14829,14831,14851,14857,14858,14859"
Version - R 2.12.2,F206D8,20,"14522,14523,14526,14528,14529,14531,14533,14541,14544"
Hardware - PowerPC Other,CD3A81,1,14548
Version - R 2.13.0,0D8880,40,"14559,14563,14564,14565,14569,14570,14572,14573,14576"
Hardware - PowerPC Windows 64-bit,770DFA,3,"14561,16783,16896"
Version - R 2.13.1,453C2E,41,"14605,14629,14634,14636,14639,14640,14646,14647,14649"
Hardware - Other Windows 64-bit,9EAA3D,61,"14632,14861,15034,15056,15061,15159,15171,15206,15263"
Hardware - x86_64/x64/amd64 (64-bit) Other,2E5DB1,28,"14648,14775,14910,15071,15280,15335,15506,15637,15972"
Version - R 2.13.2,D4DFE4,17,"14656,14701,14703,14704,14705,14706,14707,14708,14709"
Hardware - x86_64/x64/amd64 (64-bit) Linux-Fedora,B41C07,9,"14662,14886,15315,15958,16243,17480,17788,17788,17788"
Version - R 3.0.0,5B6A9E,117,"14682,15215,15243,15244,15246,15248,15252,15253,15254"
Hardware - Other Linux-Fedora,8A5F02,1,14684
Hardware - PowerPC OS X v10.5,95EC96,1,14690
Hardware - All OS X v10.7,42CDE7,2,"14716,15006"
Hardware - Other FreeBSD,0955E3,1,14757
Hardware - PowerPC AIX,215E21,14,"14801,15297,15443,15577,15589,15602,15604,16560,16631"
Version - R 2.15.0,1B9780,53,"14832,14878,14880,14881,14883,14885,14886,14889,14890"
Hardware - SGI AIX,FD2C31,1,14849
Hardware - PowerPC Linux,F5717E,4,"14865,15287,15745,15963"
Version - R 2.15.x,EDF547,221,"14875,14877,14887,14888,14894,14900,14901,14903,14904"
Hardware - Other OS X v10.7,E51D35,4,"14876,14916,15090,16177"
Version - R 2.14.2,112D79,10,"14879,14897,14912,14920,14946,14983,14996,15056,15245"
Hardware - Sparc Windows 32-bit,67649C,1,14887
Importance - P2 minor,2C48EE,1,14904
Version - R 3.6.xx,DD5C4E,97,"14905,15388,17567,17568,17569,17572,17574,17575,17576"
Hardware - ix86 (32-bit) OS X v10.7,F6B0B9,2,"14937,15129"
Hardware - ix86 (32-bit) Solaris,7EC265,1,14998
Importance - P1 critical,4D9E38,5,"15033,15446,15492,15704,16254"
Hardware - x86_64/x64/amd64 (64-bit) Linux-RHEL,3FDA20,18,"15037,15073,15136,15846,15847,16174,16306,16499,16545"
Hardware - Other OS X v10.8,36F3B3,8,"15066,15189,15239,15479,15489,15499,15766,15805"
Status - VERIFIED WISHLIST,6B73CB,1,15070
Importance - P1 trivial,5D2AAA,1,15070
Version - R 3.1.0,262C29,111,"15072,15084,15718,15719,15720,15726,15727,15732,15736"
Hardware - ix86 (32-bit) FreeBSD,069C9D,1,15074
Hardware - x86_64/x64/amd64 (64-bit) OS X v10.6,604E52,40,"14435,14439,14457,14499,14508,14529,14531,14569,14579,14581"
Hardware - x86_64/x64/amd64 (64-bit) OS X v10.5,EB13D7,1,14734
Hardware - x86_64/x64/amd64 (64-bit) OS X v10.4,B1911C,1,14907
Hardware - x86_64/x64/amd64 (64-bit) OS X v10.8,F557B3,38,"15017,15022,15035,15038,15081,15096,15101,15143,15152"
Hardware - x86_64/x64/amd64 (64-bit) OS X v10.7,EB62BD,17,"14670,14676,14677,14685,14686,14693,14709,14810,14838,14869"
Hardware - PowerPC OS X v10.6,05EE8F,1,15155
Hardware - Sparc OS X v10.6,133C91,1,15158
Hardware - Sparc FreeBSD,A1CB13,1,15173
Hardware - All unix-other,4EA0D6,6,"15229,15347,15508,16464,17373,17424"
Hardware - ix86 (32-bit) Other,23D0D9,3,"15326,15977,16623"
Hardware - ix86 (32-bit) Linux-Fedora,CE048B,1,15373
Hardware - SGI Other,1DF948,1,15450
Hardware - ix86 (32-bit) OS X v10.4,92A269,1,15461
Importance - P1 enhancement,BC6EE2,2,"15494,15496"
Importance - P2 critical,A8B93F,2,"15511,15623"
Hardware - x86_64/x64/amd64 (64-bit) OS X Maverick,11B081,58,"15520,15522,15550,15574,15580,15616,15655,15656,15665"
Version - R 3.1.2,228E57,164,"15522,15707,15791,16051,16053,16056,16057,16060,16062"
Hardware - Other Solaris,A0241B,3,"15555,16143,17783"
Hardware - Other unix-other,4AB57F,1,15634
Hardware - Other OS X Mavericks,13C12F,13,"15639,15768,15826,15833,15889,15934,16045,16055,16117"
Version - R 3.0.3,FC69D4,15,"15725,15728,15729,15733,15737,15738,15753,15790,15842"
Hardware - All OS X Mavericks,12C6F2,8,"15770,15828,15989,15995,16112,16221,16373,16388"
Hardware - x86_64/x64/amd64 (64-bit) Solaris,03C21E,2,"15815,16512"
Hardware - PowerPC Linux-Fedora,BB2F19,1,15856
Hardware - PowerPC Windows 32-bit,E83646,2,"15920,16861"
Importance - P4 critical,E3D8ED,1,16082
Version - R 3.4.0,BFF2C3,36,"16086,17262,17267,17268,17270,17271,17275,17276,17277"
Status - CLOSED MOVED,B0CB00,1,16182
Hardware - PowerPC OS X v10.7,ADAE23,1,16204
Hardware - Sparc Other,44E180,1,16246
Version - R 3.2.0,89EF63,75,"16321,16323,16324,16325,16329,16332,16333,16336,16338"
Version - R 3.1.3,785819,19,"16322,16326,16328,16335,16350,16369,16377,16383,16401"
Version - R 3.2.1,22442B,80,"16327,16435,16438,16439,16441,16445,16446,16447,16448"
Hardware - ix86 (32-bit) OS X Mavericks,209BF5,1,16372
Hardware - x86_64/x64/amd64 (64-bit) OS X Yosemite,6403C9,25,"16375,16393,16435,16453,16458,16463,16468,16475,16477"
Hardware - Other OS X Yosemite,D31A0E,3,"16431,16519,16561"
Importance - P4 major,A6D5FC,1,16502
Hardware - Sparc Solaris,8B3C4D,2,"16514,17385"
Hardware - Other Linux-RHEL,A6210D,2,"16535,17435"
Version - R 3.2.2,AE7723,73,"16558,16560,16561,16563,16564,16565,16566,16567,16570"
Status - RESOLVED FIXED,95ED12,4,"16576,16597,16620,16623"
Status - RESOLVED NOT REPRODUCIBLE,D4E97E,1,16602
Status - RESOLVED INVALID,986AE7,1,16606
Status - RESOLVED WONTFIX,93F122,3,"16608,16609,16628"
Version - R 3.2.3,6E74F1,79,"16651,16655,16656,16659,16660,16661,16663,16664,16665"
Hardware - All Linux-RHEL,0CDFF8,1,16723
Version - R 3.2.4,555A5C,32,"16760,16763,16765,16766,16782,16783,16785,16786,16793"
Version - R 3.2.4 revised,40B28E,19,"16775,16781,16795,16801,16807,16824,16845,16855,16857"
Version - R 3.3.*,F4FBB7,181,"16776,16777,16779,16800,16805,16829,16840,16870,16871"
Version - R 3.5.2,523B0C,10,"16877,17528,17529,17533,17539,17543,17550,17552,17560"
Hardware - Other OS X El Capitan,9C820E,5,"16911,17136,17331,17667,17724"
Hardware - All OS X El Capitan,C5C1DE,3,"16925,16926,17257"
Hardware - x86_64/x64/amd64 (64-bit) OS X El Capit,FD5A0C,22,"16939,16946,16975,16980,16983,16984,16986,16987,17166"
Version - R 3.4.1,C931A7,30,"17325,17329,17331,17332,17333,17337,17338,17342,17343"
Version - R 3.4.3,416F1E,15,"17384,17385,17386,17387,17388,17390,17391,17392,17393"
Version - R 3.5.0,E4AB1D,156,"17405,17407,17409,17410,17412,17413,17417,17418,17419"
Version - R 3.4.4,E3255B,7,"17408,17411,17435,17437,17444,17446,17577"
Version - R 3.5.1,2C291F,17,"17468,17471,17472,17477,17481,17483,17485,17486,17492"
Version - R 3.5.3,97F2BC,2,"17582,17670"
Status - VERIFIED WORKSFORME,9B90A9,3,"17692,17692,17692"
Version - R 4.0.0,DE7479,54,"17773,17776,17779,17784,17788,17789,17790,17792,17793"
Version - R 4.0.x,21F45F,51,"17775,17777,17778,17780,17783,17786,17787,17791,17799"
Hardware - Other macOS,E58BFB,6,"17782,17795,17795,17795,17782,17795"
Hardware - x86_64/x64/amd64 (64-bit) macOS,94DAEF,9,"17794,17794,17794,17850,17850,17850,17850,17856,17850"
